1075,인문과학,성공의 음악들,박성건,Score(스코어),2019,2020.4
1069,인문과학,어웨이크,피터 홀린스 지음,포레스트북스,2019,2020.3
1068,인문과학,감정은 패턴이다,랜디타란,유노북스,2019,2020.3
1066,인문과학,조선 직장인 열전,신동욱,국민출판,2019,2020.2
1065,인문과학,감정 폭력 : 세상에서 가장 과소평가되는 폭력 이야기,베르너 바르텐스,걷는나무 ; 웅진씽크빅,2019,2020.2
1059,인문과학,(미술관보다 풍부한) 러시아 그림 이야기,김희은,자유문고,2019,2020.1
1054,인문과학,인형의 시간들,김진경 지음,바다출판사,2019,2020.1
1167,사회과학,뉴노멀 교양수업,필리프 비옹뒤리| 레미 노용,문예출판사,2020,2021.4
1163,사회과학,인크루서파이 : 통합의 기술 ,스테파니 K. 존슨,비즈니스맵,2020,2021.4
1160,사회과학,엘리트 세습,대니얼 마코비츠,세종,2020,2021.2
1159,사회과학,백년식사,주영하,휴머니스트,2020,2021.2
1155,사회과학,음식에도 마스크를 씌워야 하나요,임선영,마음의숲,2020,2021.1
1152,사회과학,지금 여기| 무탈한가요?,오찬호 ,북트리거,2020,2021.1
1144,사회과학,데이터 프라이버시,니혼게이자이신문 데이터경제 취재반,머스트리드북,2020,2020.12
1140,사회과학,시간이 멈춘 방,고지마 미유,더숲,2020,2020.12
1139,사회과학,차의 시간을 걷다,김세리| 조미라 ,열린세상,2020,2020.11
1136,사회과학,(알아두면 쓸모있는 신박한) 조직생활 가이드 ,전충렬,무한,2020,2020.11
1130,사회과학,경제학자의 인문학 서재 ,박정호,더퀘스트,2020,2020.10
1127,사회과학,(하버드 시대의 종말과) 학습 혁명,오강선,클라우드나인,2020,2020.10
1122,사회과학,콘텐츠가 전부다,노가영| 조형석| 김정현,미래의창,2020,2020.9
1116,사회과학,5년 후 나는 어디에 있을 것인가,이용덕,Tornado(토네이도),2020,2020.9
1111,사회과학,시간전쟁,로라 밴더캠,길벗,2020,2020.8
1109,사회과학,전지적 불평등 시점,명로진,더 퀘스천,2020,2020.8
1102,사회과학,공간을 말하다,이상호,북바이북,2020,2020.7
1099,사회과학,언컨택트 : 더 많은 연결을 위한 새로운 시대 진화 코드,김용섭,퍼블리온,2020,2020.7
1095,사회과학,인스타그램에는 절망이 없다,정지우,한겨레출판,2020,2020.6
1093,사회과학,십대들의 중독,김미숙,이비락,2020,2020.6
1087,사회과학,보이는 경제학 안 보이는 경제학,헨리 해즐릿 지음 ; 김동균 옮김,DKJS,2020,2020.5
1085,사회과학,세대 공존의 기술,허두영,넥서스biz,2019,2020.5
1083,사회과학,호모 코쿠엔스의 음식 이야기,제니 린포드,파라북스,2020,2020.4
1081,사회과학,르몽드 비판 경제학 ,르몽드 디플로마티크 기획,마인드큐브,2019,2020.4
1072,사회과학,매너의 문화사,아리 투루넨| 마르쿠스 파르타넨,지식너머,2019,2020.3
1070,사회과학,21세기 화폐전쟁,노르베르트 헤링,율리시즈,2019,2020.3
1067,사회과학,핀란드 사람들은 왜 중고가게에 갈까,박현선,헤이북스,2019,2020.2
1063,사회과학,선량한 차별주의자,김지혜,창비,2019,2020.2
1058,사회과학,한나 아렌트,알로이스 프린츠 지음 ; 김경연 옮김,이화북스,2019,2020.1
1055,사회과학,포노사피엔스,최재붕,쌤앤파커스,2019,2020.1
1166,문학,노라와 모라,김선재,다산책방,2020,2021.4
1162,문학,당신에게 일시 정지를 권유합니다,김종관,혜화동,2020,2021.2
1154,문학,열다섯 마리 개,앙드레 알렉시스,삐삐북스,2020,2021.1
